ckjg1,qywz1,qywz,zdsf1,sfbl,zxkp1,jfsj1,rjl1,lhl1,ghhs1,wyglf1,wcb1
6200,NL,NC,12.5,50%,2012,2015,0.99,35.10%,1,2.2,1
25000,HGHJ,HG,462.5,50%,2014,2017,0.47,68.00%,32,10,8.1
14000,XC,XH,182,50%,2015,2016,3.5,35%,113,15,0.2
36000,XC,XH,334.8,30%,2015,2016,1.33,70.00%,127,8,3.6
15000,WW,WL,48.6,30%,2015,2016,0.8,40.00%,148,2.5,1
7600,WW,WL,10.5,30%,2014,2013,1.6,40.80%,149,0.6,1.9
12500,QQ,QY,24.5,50%,2014,2014,2,40.00%,200,1.8,2.6
7000,QQ,QY,16,50%,2016,2016,3.29,31.80%,228,2.8,0.7
6800,NN,NC,27.9,30%,2015,2015,1.8,44.00%,280,0.75,1
18500,DD,DD,60.6,30%,2017,2019,3.5,30.00%,316,3.58,1.2
15600,QSQS,QS,42.3,30%,2015,2014,2.5,28.00%,323,2,0.6
8300,JN,JK,15,50%,2017,2018,3,20.60%,355,2.3,3
16500,QSQS,QS,61.8,30%,2018,2019,2,30.00%,379,3.68,1.2
10500,XC,XH,30.5,50%,2017,2017,3.82,30.00%,395,3,1.2
33000,XX,XJ,75,30%,2017,2019,0.3,55.00%,412,3.8,2.7
12000,DD,DD,42.6,30%,2017,2019,3.2,32.00%,416,2.1,0.7
12000,QQ,QY,23,50%,2017,2019,3.4,25.00%,424,2.8,1.7
21000,XC,XH,145.2,30%,2017,2018,2,35.00%,428,6.8,1.5
12000,XX,XJ,174,30%,2018,2020,2,30.00%,432,3.2,9.6
12000,HJ,HG,23,50%,2018,2019,2.2,25.00%,443,2.6,1.6
13000,QQ,QY,29.7,30%,2016,2015,2.8,32.62%,464,1.8,1.1
16500,HJ,HG,51.9,30%,2018,2017,1.8,25.00%,485,4.8,0.9
6100,NL,NC,14.5,50%,2014,2015,4.23,36.58%,505,1.2,0.5
6500,HJ,HG,19,50%,2018,2020,4.2,20.20%,527,1.8,2.6
6500,HJ,HG,19,50%,2018,2020,4.2,20.20%,527,1.8,2.6
30000,GG,GG,193.5,30%,2015,2011,0.83,46.00%,560,2.6,0.7
9200,QSQS,QS,27.3,30%,2018,2019,2.3,30.00%,651,2.2,1.1
15600,XHXH,XH,20.4,30%,2016,2017,5.1,35.00%,680,2.2,0.6
11000,QSQS,QS,22,50%,2015,2017,2.64,68.50%,700,3.8,0.7
12500,NX,NC,30,30%,2018,2019,2,35.03%,707,3.3,1
5400,SS,SH,18.6,30%,2016,2015,2,30.00%,736,1,0.7
8000,GG,GG,23,50%,2016,2017,5.49,30.00%,762,3.5,2.4
10000,JN,JK,25.5,30%,2018,2019,2,35.00%,766,1.8,1
20000,HF,HG,138,30%,2016,2017,3,40.30%,770,2.9,2.4
20000,HJ,HG,111.6,30%,2018,2019,1.7,33.00%,772,34,1.1
15000,DD,DD,34.2,30%,2017,2018,3.2,30.00%,818,2.8,1.5
15500,NX,NC,59.1,30%,2018,2020,2.5,30.00%,876,2.8,1.5
10500,HJ,HG,20,50%,2017,2018,2.9,28.00%,890,2.5,2.2
15000,XC,XH,39.6,30%,2016,2016,2.2,35.00%,900,2.3,0.9
7500,NL,NC,15.5,50%,2016,2018,3.3,20.00%,900,2,0.7
13000,QQ,QY,61.2,30%,2017,2018,2.5,35.00%,904,2.2,0.2
12000,XC,XH,35.5,50%,2017,2018,5,18.60%,920,2.9,2
18500,HH,HG,127.2,30%,2016,2016,3.5,30.00%,968,3,2.5
25000,XC,XH,80.1,30%,2018,2018,2.2,35.00%,986,2.7,1.2
11000,GG,GG,14.5,50%,2017,2019,2.5,30.00%,991,2.8,0.3
19000,HH,HG,38,50%,2016,2018,5.5,31.00%,1000,3.98,0.9
18000,DD,DD,52.8,30%,2018,2019,3.29,36.00%,1000,3.2,1.6
8500,QSQS,QS,15.5,50%,2017,2018,2.2,35.00%,1004,1.28,0.8
13500,XX,XJ,41.1,30%,2017,2018,3.4,25.00%,1008,2.8,0.7
16000,HJ,HG,32,50%,2017,2020,2.5,30.00%,1026,2.6,1.1
7500,WW,WL,9,30%,2018,2011,1.6,46.00%,1040,0.7,0.6
19000,HGHJ,HG,145.8,30%,2016,2017,1.63,35.00%,1137,2.3,4.4
12000,JN,JK,81.5,50%,2017,2018,1.4,30.00%,1172,1.8,2.3
20000,QQ,QY,118.2,30%,2015,2015,1.2,35.00%,1200,2,1
9000,NX,NC,9.3,30%,2018,2019,2.5,30.00%,1206,2,1.6
9000,NX,NC,9.3,30%,2018,2019,2.5,30.00%,1206,2,1.6
10000,WW,WL,20.1,30%,2018,2019,1.6,40.00%,1219,1.5,0.8
8000,NX,NC,8,50%,2018,2019,2.5,30.00%,1252,22,1.2
4800,SS,SH,15.6,30%,2017,2019,2,30.00%,1270,1.5,0.8
11000,HJ,HG,98.5,50%,2017,2019,1.5,20.00%,1281,3,0.3
10500,NN,NC,34.8,30%,2018,2019,2.2,35.70%,1300,1.35,0.6
10500,NN,NC,34.8,30%,2018,2019,2.2,35.70%,1300,1.35,0.6
15000,GG,GG,108,30%,2016,2016,1.6,35.00%,1433,2.2,1.6
6500,GG,GG,17.5,50%,2017,2019,2,32.30%,1436,1.98,0.9
13500,NN,NC,46.5,30%,2018,2019,3.5,30.00%,1520,2,7.2
6000,JX,JX,18.3,30%,2013,2018,2.72,36.60%,1539,1.2,0.9
17000,QQ,QY,75.3,30%,2015,2015,1.89,51.00%,1644,2.2,1.5
7400,WW,WL,15,50%,2017,2020,2.5,31.09%,1718,1.5,1
5500,SS,SH,17.4,30%,2018,2019,1.8,35.00%,1872,1.3,0.6
18000,QSQS,QS,20,50%,2018,2020,2.5,35.00%,1988,3,0.7
9800,WW,WL,25.8,30%,2018,2019,1.74,40.00%,1988,3,1.1
8000,JX,JX,19.5,30%,2018,2019,2,42.00%,2010,1.68,0.8
17000,QQ,QY,61.8,30%,2017,2017,2,35.00%,2099,2.5,1.1
11800,XX,XJ,27.9,30%,2017,2019,3,31.60%,2100,2,0.7
9500,JN,JK,24.9,30%,2018,2020,2,30.00%,2420,2.86,0.8
13000,JN,JK,36.3,30%,2018,2019,1.8,30.00%,2500,2.75,0.9
7800,XX,XJ,16.5,50%,2017,2019,2,27.81%,3020,1.6,0.8
8800,NL,NC,28.8,30%,2018,2019,1.8,35.00%,3291,1.8,1.1
12000,HJ,HG,24.5,50%,2018,2020,2.2,35.00%,3343,2.5,1.3
13000,WW,WL,58.5,30%,2017,2019,0.6,50.00%,3400,3,1.6
11700,JN,JK,18.9,30%,2018,2019,2.3,35.00%,3430,1.8,1
11700,JN,JK,18.9,30%,2018,2019,2.3,35.00%,3430,1.8,1
12000,NL,NC,31.5,30%,2017,2019,2.5,38.00%,3567,1.68,1.1
7800,JX,JX,21,30%,2018,2020,2.8,30.00%,3872,1.38,1
9500,NN,NC,12,30%,2017,2018,2.87,34.47%,3875,1.5,0.5
12700,NN,NC,34.8,30%,2018,2020,2.5,35%,4080,3.2,1.2
15000,HJ,HG,56.4,30%,2018,2019,1.57,32.91%,4105,2.5,0.6
8000,NX,NC,32,50%,2016,2018,1.4,36.00%,4885,0.75,0.2
10000,NN,NC,27.9,30%,2017,2019,1.82,30.00%,5500,1.5,0.7
10000,WW,WL,30.9,30%,2018,2020,1.8,32.84%,6610,2.6,0.9
12500,NX,NC,30.3,30%,2017,2019,1.8,35.00%,11578,1.8,0.9
