ckjg1,qywz1,qywz,zdsf1,sfbl,zxkp1,jfsj1,rjl1,lhl1,ghhs1,wyglf1,1/cwb1
6200,NL,NC,12.5,50%,2012,2015,0.99,35.10%,1,2.2,1
12000,HJ,HG,20.5,50%,2017,2018,3.5,21.10%,1,3.3,NA
12000,WW,WL,42.6,30%,2018,2019,2,36.50%,1,2.6,NA
18500,GG,GG,57.6,30%,2017,2019,2.5,30.12%,1,NA,NA
25000,HGHJ,HG,462.5,50%,2014,2017,0.47,68.00%,32,10,8.1
11500,DD,DD,NA,30%,2014,2015,NA,NA,82,NA,NA
9500,WW,WL,57.6,30%,2013,2014,NA,NA,93,2,1
14000,XC,XH,182,50%,2015,2016,3.5,35%,113,15,0.2
36000,XC,XH,334.8,30%,2015,2016,1.33,70.00%,127,8,3.6
12000,WW,WL,95.7,30%,2016,2017,0.68,45.00%,144,3.2,NA
15000,WW,WL,48.6,30%,2015,2016,0.8,40.00%,148,2.5,1
7600,WW,WL,10.5,30%,2014,2013,1.6,40.80%,149,0.6,1.9
5800,WW,WL,14.1,30%,2016,2016,NA,NA,170,1.5,4.4
12500,QQ,QY,24.5,50%,2014,2014,2,40.00%,200,1.8,2.6
7000,QQ,QY,16,50%,2016,2016,3.29,31.80%,228,2.8,0.7
14000,DD,DD,NA,30%,2017,2018,1.89,30.00%,228,2.6,0.6
2600,JX,JX,NA,30%,2017,2017,1.7,32.00%,253,0.6,0.7
14500,DD,DD,NA,30%,2016,2016,NA,NA,267,1.98,0.9
6800,NN,NC,27.9,30%,2015,2015,1.8,44.00%,280,0.75,1
6600,XX,XJ,16.8,30%,2011,2013,NA,NA,288,1.2,0.3
13000,QSQS,QS,29.5,50%,2012,2014,NA,NA,304,2.6,0.7
18500,DD,DD,60.6,30%,2017,2019,3.5,30.00%,316,3.58,1.2
15600,QSQS,QS,42.3,30%,2015,2014,2.5,28.00%,323,2,0.6
15500,XC,XH,NA,30%,2018,2019,2.2,30.00%,334,4.8,1.2
13000,HH,HG,84.5,50%,2017,2018,6.5,35%,336,NA,1
14000,DD,DD,43.8,30%,2016,2015,NA,NA,347,2.8,1.8
8300,JN,JK,15,50%,2017,2018,3,20.60%,355,2.3,3
16500,QSQS,QS,61.8,30%,2018,2019,2,30.00%,379,3.68,1.2
8700,WW,WL,18.9,30%,2018,2018,2.1,35.00%,386,1.8,NA
10500,XC,XH,30.5,50%,2017,2017,3.82,30.00%,395,3,1.2
20000,XC,XH,NA,30%,2013,2015,NA,NA,404,2.2,NA
33000,XX,XJ,75,30%,2017,2019,0.3,55.00%,412,3.8,2.7
12000,DD,DD,42.6,30%,2017,2019,3.2,32.00%,416,2.1,0.7
12000,QQ,QY,23,50%,2017,2019,3.4,25.00%,424,2.8,1.7
21000,XC,XH,145.2,30%,2017,2018,2,35.00%,428,6.8,1.5
3000,JX,JX,15.3,30%,2016,2016,NA,NA,430,0.6,1
10300,NN,NC,14.7,30%,2014,2015,NA,NA,431,1.2,0.7
12000,XX,XJ,174,30%,2018,2020,2,30.00%,432,3.2,9.6
22000,HH,HG,NA,30%,2016,2016,5,45.71%,437,4.5,1.6
12000,HJ,HG,23,50%,2018,2019,2.2,25.00%,443,2.6,1.6
15800,QC,QS,NA,30%,NA,NA,2.2,30.07%,450,2.2,1
15800,QC,QS,NA,30%,NA,NA,2.2,30.07%,450,2.2,1
13000,QQ,QY,29.7,30%,2016,2015,2.8,32.62%,464,1.8,1.1
16500,HJ,HG,51.9,30%,2018,2017,1.8,25.00%,485,4.8,0.9
