id,url1,name,recommend,reader,author,translator,label,date,year,price,pages,printing,state
760,http://www.ituring.com.cn/book/2484,Java从小白到大牛精简版,14,321100,"""关东升(作者)",,Java 独立电子书 ,2017/8/30,2017,,,黑白,上市销售
622,http://www.ituring.com.cn/book/1863,编程小白的第一本Python入门书,114,174200,"""侯爵(作者)",,python 独立电子书 ,2016/6/17,2016,,142,彩色,上市销售
798,http://www.ituring.com.cn/book/2480,Java从小白到大牛,7,163800,"""关东升(作者)",,Java 独立电子书 ,2017/8/28,2017,,,黑白,上市销售
803,http://www.ituring.com.cn/book/1861,Python编程：从入门到实践,92,133100,EricMatthes(作者),袁国忠(译者) ,python 程序设计 ,2016/7/19,2016,89,476,黑白,上市销售
935,http://www.ituring.com.cn/book/2621,Kotlin从小白到大牛,3,128600,"""关东升(作者)",,android kotlin 独立电子书 ,2018/1/24,2018,,,黑白,上市销售
169,http://www.ituring.com.cn/book/1421,Chrome扩展及应用开发（首发版）,212,127200,"""Sneezry(作者)",,扩展 独立电子书 chrome javacript ,2014/5/20,2014,,,,上市销售
565,http://www.ituring.com.cn/book/1709,Python网络数据采集,49,109500,RyanMitchell(作者),陶俊杰  陈小莉(译者) ,python 数据挖掘 大数据 网络爬虫 数据采集 ,2016/3/21,2016,59,216,黑白,上市销售
830,http://www.ituring.com.cn/book/1021,机器学习实战,124,108000,PeterHarrington(作者),李锐 李鹏  曲亚东  王斌(译者) ,人工智能 机器学习 数据挖掘 算法 manning ai-ebook ,2013/6/5,2013,69,332,黑白,上市销售
541,http://www.ituring.com.cn/book/946,JavaScript高级程序设计（第3版）,188,107500,NicholasC.Zakas(作者),李松峰 曹力(译者) ,javascript 前端 ,2012/3/23,2012,99,748,,上市销售
822,http://www.ituring.com.cn/book/1564,流畅的Python,96,106500,[巴西]LucianoRamalho(作者),安道  吴珂(译者) ,python ,2017/5/8,2017,139,600,单色,上市销售
893,http://www.ituring.com.cn/book/1841,第一行代码——Android（第2版）,66,100600,郭霖(作者),,移动开发 android ,2016/11/29,2016,79,580,黑白,上市销售
146,http://www.ituring.com.cn/book/1449,FlaskWeb开发：基于Python的Web应用开发实战,57,96500,MiguelGrinberg(作者),安道(译者) ,python web开发 Flask ,2014/12/10,2014,59,224,黑白,上市销售
126,http://www.ituring.com.cn/book/1019,计算机科学的基础,175,94200,AlAho JeffUllman(作者),傅尔也(译者) ,计算机科学 独立电子书 ,2015/7/8,2015,,786,黑白,上市销售
128,http://www.ituring.com.cn/book/1605,算法的乐趣,74,93800,王晓华(作者),,算法 ,2015/3/30,2015,79,420,黑白,上市销售
